Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1QUiA9aecDOOnf32A9ZrtW,"Untitled #3 - Samskeyti","( )","Sigur Rós",2002,393426,48,,2024-11-27T15:02:39Z,"chamber pop,compositional ambient,dream pop,ethereal wave,icelandic rock,indie rock,melancholia,nordic post-rock,post-rock","Krunk",0.114,0.198,3,-14.357,1,0.0313,0.818,0.917,0.108,0.0378,89.535,4
4EDj8GXOlI45vG4SOfswK3,"Headache","Paradise Valley","Grouper",2016-12-21,304460,44,,2024-11-27T15:02:39Z,"ambient,ambient pop,art pop,dream pop,drone,electra,experimental ambient,experimental pop,modern dream pop,spectra","Yellowelectric",0.282,0.154,9,-22.065,1,0.0444,0.833,0.88,0.0809,0.0383,138.131,4
6o65Xn8X3IXf7zmxVjXDWJ,"Green Arrow","I Can Hear The Heart Beating As One","Yo La Tengo",1997-04-22,343800,47,,2024-11-27T15:02:39Z,"alternative rock,art pop,dream pop,indie rock,indietronica,lo-fi,new jersey indie,noise pop,permanent wave,shoegaze","Matador",0.177,0.15,7,-19.388,0,0.0335,0.798,0.827,0.0871,0.078,174.179,4
3cIG78oBauowzEbkBwWADN,"They Move on Tracks of Never-Ending Light","S/T","This Will Destroy You",2007-01-08,416333,43,,2024-11-27T15:02:39Z,"ambient post-rock,american post-rock,doomgaze,drone metal,instrumental post-rock,post-rock","Dark Operative",0.645,0.188,6,-19.37,1,0.0377,0.546,0.836,0.0952,0.0748,119.999,4
11n8LudggXuZXmldSlAadR,"I Can Almost See You","Raising Your Voice... Trying to Stop an Echo (Deluxe Edition)","Hammock",2006-08-06,255335,44,,2024-11-27T15:02:39Z,"ambient guitar,ambient post-rock,ambient worship,compositional ambient,instrumental post-rock,post-rock,space ambient","Hammock Music",0.0748,0.523,4,-8.069,1,0.0354,0.782,0.866,0.0886,0.0383,74.195,3
3V4rZhVqZ4EcaagkxUaqn0,"The Slide Song","Pure Phase","Spiritualized",1995-03-28,232266,28,,2024-11-27T15:02:39Z,"alternative rock,britpop,chamber pop,noise pop,shoegaze,spacegrunge","Fat Possum",0.275,0.41,2,-15.666,1,0.0376,0.00783,0.837,0.196,0.073,159.691,4
0IAwdAWtYiGSTZ0QKsHB9u,"The Light","Into the Blue Again","The Album Leaf",2007-09-27,269066,36,,2024-11-27T15:02:39Z,"american post-rock,compositional ambient,instrumental post-rock,post-rock","City Slang",0.149,0.132,1,-16.703,1,0.0414,0.896,0.936,0.217,0.0392,100.82,5
3CSO9mXOUtOzIM6Eqq9QlF,"Waking Up","Lone Survivor (Original Motion Picture Soundtrack)","Explosions In The Sky",2013-12-17,290871,44,,2024-11-27T15:02:39Z,"american post-rock,cinematic post-rock,instrumental post-rock,melancholia,post-rock","BFD",0.266,0.182,0,-15.988,1,0.0354,0.344,0.646,0.106,0.0613,105.344,4
0OF6WSdeVmYEGBZlxvwvLq,"Anything You Synthesize - Ambient","Ambient One","The American Dollar",2009-07-15,248125,42,,2024-11-27T15:02:39Z,"american post-rock,focus,instrumental post-rock,post-rock","The American Dollar",0.496,0.0936,1,-22.248,0,0.0359,0.43,0.94,0.0997,0.0308,120.116,4
4rhmXU8skfmVs6DoDMTkIl,"The River","Outer Wilds: Echoes of the Eye (Original Game Soundtrack)","Andrew Prahlow",2021-09-28,163018,42,,2024-11-27T15:02:39Z,"video game music","Andrew Prahlow Music",0.383,0.501,10,-9.52,0,0.0301,0.425,0.811,0.107,0.0707,158.961,3
