Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0YMe6PHRbeDcN7KJdCG0bW,"The Dress","Absolutely","Dijon",2021-11-05,184767,64,,2024-02-01T17:41:19Z,"bedroom soul","R&R Digital/Warner Records",0.747,0.531,8,-5.99,1,0.0477,0.266,0.0000018,0.192,0.785,88.009,4
1ZgMsA55GIY7ICkQh5MILA,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,73,,2024-02-01T17:41:19Z,"art pop,baltimore indie,dream pop,dreamo,indie rock,indietronica,modern dream pop,pov: indie","Bella Union",0.508,0.786,0,-7.295,0,0.0293,0.226,0.14,0.143,0.611,147.077,4
6UFivO2zqqPFPoQYsEMuCc,"Bags","Immunity","Clairo",2019-08-02,260519,77,,2024-02-01T17:41:19Z,"bedroom pop,indie pop,pov: indie","FADER Label",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
25Syi9wnfn6ZGAmiOBypPq,"Motion Sickness","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,229760,62,,2024-02-01T17:41:19Z,"indie pop,la indie,pov: indie","Dead Oceans",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
7cs7MLtAWvsdf3w5kBvfK2,"Nothing's Gonna Hurt You Baby","I.","Cigarettes After Sex",2012-07-21,286293,77,,2024-02-01T17:41:19Z,"ambient pop,dream pop,el paso indie,shoegaze","Spanish Prayers",0.495,0.328,4,-14.079,1,0.0274,0.262,0.149,0.107,0.0927,97.241,4
5WbfFTuIldjL9x7W6y5l7R,"Kingston","Atlanta Millionaires Club","Faye Webster",2019-05-24,202653,77,,2024-02-01T17:41:19Z,"atlanta indie,indie pop","Secretly Canadian",0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4
1XrSjpNe49IiygZfzb74pk,"What Once Was","Songs of Her's","Her's",2017-05-12,255067,72,,2024-02-01T17:41:19Z,"indie pop,liverpool indie,pov: indie","Heist Or Hit Records",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,89,,2024-02-09T20:47:57Z,"pov: indie,psychedelic pop","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
75IQVo8hqI1iwVZyvkN2VT,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,78,,2024-02-01T17:41:19Z,"indie pop,pov: indie","Indie",0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
4m0q0xQ2BNl9SCAGKyfiGZ,"Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347525,70,,2024-02-01T17:41:19Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.619,0.792,0,-5.711,1,0.0589,0.202,0.0149,0.126,0.458,101.01,4
7jZBPuJmkOsfPkwFD30dAA,"My Girls","Merriweather Post Pavilion","Animal Collective",2009-01-10,340786,53,,2024-02-01T17:41:19Z,"alternative dance,alternative rock,art pop,baltimore indie,chillwave,dance-punk,dream pop,experimental pop,freak folk,indie rock,neo-synthpop,noise pop","Domino Recording Co",0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973,4
