Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1h44AOekmUQtwtSpMZ9S2t,"The Fear of Losing This","If Blue Could Be Happiness","Florist",2017-09-29,233062,50,11146410335,2025-01-25T13:59:51Z,"","Double Double Whammy",0.378,0.124,0,-20.639,1,0.04,0.909,0.883,0.115,0.159,123.028,3
0z1o5L7HJx562xZSATcIpY,"Exit Music (For A Film)","OK Computer","Radiohead",1997-05-28,267186,74,11146410335,2025-01-25T13:59:51Z,"art rock,alternatív rock","XL Recordings",0.293,0.276,4,-11.357,0,0.0349,0.224,0.122,0.167,0.195,121.603,4
2kRFrWaLWiKq48YYVdGcm8,"Everything In Its Right Place","Kid A","Radiohead",2000-10-02,251426,71,11146410335,2025-01-25T13:59:51Z,"art rock,alternatív rock","XL Recordings",0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,5
51EMSRpNm9Rg5rGViVCczv,"Andromeda","Titanic Rising","Weyes Blood",2019-04-05,280186,66,11146410335,2025-01-25T13:59:51Z,"art pop,barokk pop,kamarapop","Sub Pop Records",0.467,0.461,1,-7.94,0,0.0274,0.368,0.00115,0.358,0.188,131.325,4
0KixIFbJPLjVUgCiTgR649,"Dripping Sun","Masana Temples","Kikagaku Moyo",2018-10-05,470092,41,11146410335,2025-01-25T13:59:51Z,"pszichedelikus rock,space rock,Krautrock","Guruguru Brain",0.536,0.441,5,-7.244,0,0.0356,0.181,0.564,0.113,0.335,105.556,4
5ys0tPwqMDqsL7pX6i5pj8,"Need 2","Need 2","Pinegrove",2023-06-15,191796,54,11146410335,2025-01-25T13:59:51Z,"midwest emo","Many Hats Distribution",0.55,0.634,1,-8.302,0,0.0262,0.00974,0.197,0.0733,0.216,76.555,4
7BSadtswKNAyWfiuHZNeih,"The Fool","In the Aeroplane Over the Sea","Neutral Milk Hotel",1998-02-20,113146,48,11146410335,2025-01-25T13:59:51Z,"kamarapop,folk-punk","Merge Records",0.283,0.683,2,-4.907,0,0.0303,0.0557,0.846,0.529,0.308,109.766,3
5jZoYp0P8ML7AxkS3tQz3j,"Seventeen","Remind Me Tomorrow","Sharon Van Etten",2019-01-18,265920,55,11146410335,2025-01-25T13:59:51Z,"","Jagjaguwar",0.538,0.774,5,-7.359,1,0.0484,0.0164,0.265,0.0685,0.249,127.107,4
4nLZhCmYLNN4rAHdXomhjp,"Phantom Island","Phantom Island","King Gizzard & The Lizard Wizard",2024-10-29,316137,49,11146410335,2025-01-25T13:59:51Z,"pszichedelikus rock,acid rock,pszichedelikus pop","KGLW (King Gizzard & the Lizard Wizard)",0.265,0.931,3,-4.347,1,0.415,0.48,0,0.104,0.394,104.158,4
01wsKcJ8ptqUmatpJlEGYj,"Ready to Start","The Suburbs","Arcade Fire",2010-08-02,255893,48,11146410335,2025-01-25T13:59:51Z,"indie rock,barokk pop","Sony Music CG",0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,4
