Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3MXQyrtpSbucjnO7wAiLSI,"Alfonso Muskedunder","It's Album Time","Todd Terje",2014-04-07,204933,34,11146410335,2025-01-09T22:18:31Z,"balearic,electronica,filter house,indietronica,norwegian space disco,nu disco","Olsen Records",0.569,0.948,5,-7.536,1,0.0512,0.033,0.925,0.0929,0.876,192.04,1
4H0PVPGkNeb72vV3qU31nI,"Closing Shot","Closing Shot","Lindstrøm",2016-06-03,503648,28,11146410335,2025-01-09T22:18:31Z,"balearic,electronica,norwegian space disco,nu disco","Feedelity Recordings",0.777,0.917,5,-7.799,0,0.0524,0.00218,0.888,0.451,0.877,123.002,4
4Gk5pUinxmDBuVAcjOHaKD,"Maskindans - Radio Edit","Maskindans","Todd Terje,Det Gylne Triangel",2017-06-02,214404,10,11146410335,2025-01-09T22:18:31Z,"balearic,electronica,filter house,indietronica,norwegian space disco,nu disco","Olsen Records",0.622,0.809,0,-8.575,1,0.0386,0.00362,0.0541,0.115,0.295,119.982,4
4o4lNCu3RYVl7B9BB3YEzF,"Boney M Down","Lindstrom & Prins Thomas","Lindstrøm,Prins Thomas",2005-10-14,229386,36,11146410335,2025-01-09T22:18:31Z,"balearic,electronica,norwegian space disco,nu disco","Eskimo Recordings",0.76,0.641,0,-9.54,0,0.0374,0.0772,0.897,0.139,0.876,100.978,4
7HIyoH2tAPy14AaGjXrx0W,"You Can´t Do it Right","10 Years of Full Pupp Sampler 2","Randaberg Ego Ensemble",2014-03-24,360118,1,11146410335,2025-01-09T22:18:31Z,"norwegian space disco","Full Pupp",0.816,0.605,5,-8.783,0,0.0495,0.0705,0.0000306,0.424,0.895,118.982,4
2cYhGJbhvVareN1kFQiODe,"Black Water","Creep On Creepin' On","Timber Timbre",2011-04-05,359826,31,11146410335,2025-01-09T22:18:31Z,"chamber pop,new weird america,toronto indie","Arts & Crafts",0.57,0.311,2,-7.975,0,0.0273,0.635,0.0145,0.496,0.507,141.823,4
1NHd4UVxT5d5EGYzlDq17T,"Inspector Norse","It's the Arps","Todd Terje",2012-01-09,400751,50,11146410335,2025-01-09T22:18:31Z,"balearic,electronica,filter house,indietronica,norwegian space disco,nu disco","Olsen Records",0.912,0.782,7,-7.018,0,0.0445,0.0741,0.763,0.348,0.89,119.979,4
2qpacEyFxmbxCpIEqZkqvC,"You Are the Right One","Naked All the Time","Sports",2015-07-24,172506,73,11146410335,2025-01-09T22:18:31Z,"tulsa indie","Sports",0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,4
3NiYvMjp5A3FZmP3dojS8k,"Arrow Through Me - Remastered 1993","Back To The Egg","Wings",1979-06-06,216693,51,11146410335,2025-01-09T22:18:31Z,"album rock,art rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock","Paul McCartney Catalog",0.874,0.364,2,-12.326,1,0.0983,0.218,0.0263,0.101,0.675,86.004,4
0bfvHnWWOeU1U5XeKyVLbW,"Can't Take My Eyes off You","Solo","Frankie Valli",1967,203680,75,11146410335,2025-01-09T22:18:31Z,"adult standards,bubblegum pop,lounge","Rhino",0.581,0.78,4,-7.053,1,0.0567,0.508,0.0000107,0.0799,0.561,123.711,4
