Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
51Grh1RyUDcMBbpuyUIUHI,"rises the moon","recently","Liana Flores",2019-04-10,161929,80,,2025-01-31T12:28:58Z,"","liana flores",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,3
0j3mqDTK4Z6lvrLzFCUUz6,"Good Looking","Good Looking","Suki Waterhouse",2022-08-18,214800,81,,2025-01-30T16:56:45Z,"","Sub Pop Records",0.365,0.554,4,-9.076,1,0.03,0.079,0.000358,0.125,0.259,150.11,3
3ITvhrRB5TlEks19k9qy2k,"Jackie Down The Line","Skinty Fia","Fontaines D.C.",2022-04-22,241093,64,,2025-01-29T23:05:27Z,"posztpunk","Partisan Records",0.547,0.88,7,-4.562,1,0.0442,0.0102,0,0.0884,0.44,134.981,4
02Gry0RACPHWE7266Lfr7X,"Death Kink","Romance","Fontaines D.C.",2024-08-23,143414,61,,2025-01-29T22:58:45Z,"posztpunk","XL Recordings",0.532,0.851,0,-4.498,1,0.0304,0.0048,0,0.136,0.763,98.999,1
3Y1EvIgEVw51XtgNEgpz5c,"Von dutch","BRAT","Charli xcx",2024-06-07,164284,74,,2025-01-29T09:51:59Z,"hyperpop,art pop","Atlantic Records",0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,4
1VLdR9j5zUYDpmY7Bdl3YD,"愛密集","愛密集","Yakkle,Shing02",2020-03-18,204615,47,,2025-01-28T19:13:48Z,"japán rap,dzsesszrap","RAMU RECORDS",0.833,0.852,0,-5.67,1,0.186,0.143,0,0.114,0.702,97.485,4
0d4iovoMq8YJ7wtuvKH7bj,"3 minute","3 minute","RFM Beats",2024-01-29,216102,41,,2025-01-27T14:01:50Z,"breakcore,jungle","VOID Creative Group",0.47,0.555,5,-12.507,0,0.0447,0.0392,0.119,0.137,0.148,172.116,4
4BL8uC2TSOebfjg8cWUyeO,"Want To Love - Just Raw","Raw Tracks and Reworks","Aloboi",2024-08-09,82000,61,,2025-01-27T13:58:02Z,"","Basire Records",0.587,0.712,8,-8.289,1,0.155,0.15,0.735,0.132,0.0674,119.97,3
3R70HmrqOGs7CL0T5KFcWp,"Bump 9","Tango Circuit","Mike Klubnika",2024-10-22,177230,36,,2025-01-27T12:51:41Z,"","3697877 Records DK",0.642,0.576,5,-12.605,1,0.036,0.0000347,0.909,0.117,0.155,136.005,4
2qrleTCBnhy7v6Wd5MUx41,"die alone","we had good times together, don't forget that","Sewerslvt",2021-11-12,432000,38,,2025-01-27T12:25:08Z,"breakcore,jungle,speedcore,hyperpop","SWRSLT",0.166,0.935,2,-4.312,1,0.246,0.00123,0.683,0.585,0.081,159.04,4
