Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0XgRWgcs0Pcr9PSIdFWD4N,"Clay Pigeons","True That","Michael Cera",2014-08-14,186000,69,11146410335,2025-01-10T01:20:52Z,"canadian indie folk,small room","Michael Cera",0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,4
3znapZvsInnCVsDERDUaM5,"Some Girls Are Bigger Than Others - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,197800,58,11146410335,2025-01-10T01:20:52Z,"madchester,new wave,permanent wave,rock,uk post-punk","WM UK",0.525,0.927,1,-9.561,0,0.0547,0.0025,0.000799,0.216,0.308,161.798,4
1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,76,11146410335,2025-01-10T01:20:52Z,"madchester,new wave,permanent wave,rock,uk post-punk","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
1n9jiyTDiY1NvsDA0W401C,"Hand Me My Shovel, I'm Going In!","SELF-iSH","Will Wood and the Tapeworms",2016-08-23,351095,55,11146410335,2025-01-10T01:20:52Z,"new jersey indie,pov: indie","Will Wood",0.324,0.939,4,-3.194,0,0.0844,0.311,0.00000874,0.278,0.295,124.956,4
77RNVzAVwqWiZrZuWqMV2i,"Nancy From Now On","Fear Fun","Father John Misty",2012-05-01,234160,62,11146410335,2025-01-10T01:20:52Z,"art pop,chamber pop,indie rock,singer-songwriter,stomp and holler","Sub Pop Records",0.535,0.646,0,-9.168,1,0.0278,0.526,0.0406,0.0908,0.501,107.078,4
5QTxFnGygVM4jFQiBovmRo,"(Don't Fear) The Reaper","Agents Of Fortune","Blue Öyster Cult",1976,308120,72,11146410335,2025-01-10T01:20:52Z,"album rock,classic rock,glam metal,hard rock,progressive rock,rock","Columbia",0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,4
2rso25m7GZBGpliSBgbn2V,"Grenadine","Seize printemps (Bande originale du film)","Vincent Delerm",2021-06-16,76346,47,11146410335,2025-01-10T01:20:52Z,"chanson,nouvelle chanson francaise","Tôt Ou Tard",0.62,0.14,0,-25.762,0,0.0304,0.97,0.966,0.0938,0.547,75.012,4
50kgovuPE9wDZ0hEynlssm,"I Should Go - Solo Version","I Should Go (Solo Version)","James Vincent McMorrow",2020-10-07,151178,46,11146410335,2025-01-10T01:20:52Z,"chamber pop,indie folk,irish singer-songwriter,stomp and holler","Columbia",0.707,0.339,6,-10.373,0,0.0492,0.894,0,0.114,0.303,132.029,4
1zNXF2svmdlNxfS5XeNUgr,"Don't Know Why","Come Away With Me (Super Deluxe Edition)","Norah Jones",2002-02-26,186251,75,11146410335,2025-01-10T01:20:52Z,"contemporary vocal jazz,jazz pop,neo mellow,vocal jazz","CM BLUE NOTE (A92)",0.745,0.219,5,-11.216,1,0.0276,0.851,0.000018,0.0678,0.635,88.609,4
6HTVZeVQ9J6Uiq6tHESxU9,"Welcome Home, Son","Ghost","Radical Face",2007-03-02,287634,70,11146410335,2025-01-10T01:20:52Z,"indie folk,jacksonville indie,stomp and holler","Bear Machine",0.586,0.494,6,-10.759,1,0.0307,0.723,0.789,0.142,0.401,144.973,3
3NiYvMjp5A3FZmP3dojS8k,"Arrow Through Me - Remastered 1993","Back To The Egg","Wings",1979-06-06,216693,51,11146410335,2025-01-10T01:20:52Z,"album rock,art rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock","Paul McCartney Catalog",0.874,0.364,2,-12.326,1,0.0983,0.218,0.0263,0.101,0.675,86.004,4
0bfvHnWWOeU1U5XeKyVLbW,"Can't Take My Eyes off You","Solo","Frankie Valli",1967,203680,75,11146410335,2025-01-10T01:20:52Z,"adult standards,bubblegum pop,lounge","Rhino",0.581,0.78,4,-7.053,1,0.0567,0.508,0.0000107,0.0799,0.561,123.711,4
3EXrtClWmgsM7dw75Mw2M1,"When You're Gone","To The Faithful Departed","The Cranberries",1996-04-30,296200,62,11146410335,2025-01-10T01:20:52Z,"irish rock,pop rock,rock","Island Records",0.454,0.524,3,-7.128,1,0.0267,0.351,0.0000432,0.0691,0.348,186.762,3
27hhIs2fp6w06N5zx4Eaa5,"Dream A Little Dream Of Me","The Papas & The Mamas","The Mamas & The Papas",1968-05-01,194426,73,11146410335,2025-01-10T01:20:52Z,"classic rock,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop","Geffen",0.413,0.313,7,-13.138,1,0.0519,0.791,0.0000015,0.0727,0.349,92.515,4
5UWwZ5lm5PKu6eKsHAGxOk,"Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,81,11146410335,2025-01-10T01:20:52Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock","RCA Records Label",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
5VSAonaAPhhGn0G7hMYwWK,"Sister Golden Hair","Hearts","America",1975,199573,70,11146410335,2025-01-10T01:20:52Z,"album rock,classic rock,folk rock,mellow gold,soft rock","Rhino",0.441,0.546,4,-12.222,1,0.0336,0.13,0.000144,0.109,0.718,134.752,4
