Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
19kHhX6f6EfLU7rcO3RqjO,"Back On 74","Volcano","Jungle",2023-08-11,209482,78,,2024-11-07T16:40:28Z,"indie soul,uk contemporary r&b","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
00bq71I9OZ87M6jZqQFV6I,"You and Me","Renaissance","The Magician",2020-05-15,214958,48,,2024-11-07T16:40:28Z,"belgian edm,house,nu disco","Atlantic Records UK",0.646,0.814,7,-5.263,0,0.0437,0.000415,0.0305,0.0882,0.117,121.043,4
3hx5rxhEbaSIoHY1erGnby,"Friday (Alone Right Now)","TANZPARTEI II (Mixtape)","ATRIP",2024-10-04,151599,53,,2024-11-07T16:40:28Z,"stutter house","ATRIP",0.659,0.731,2,-3.899,1,0.0473,0.0549,0.0324,0.343,0.485,130.025,4
561pBFcFL2Pwb9HPO9tU8J,"places to be","places to be","Fred again..,Anderson .Paak,CHIKA",2024-05-31,226677,69,,2024-11-07T16:40:28Z,"edm,house,stutter house,escape room,hip hop,indie soul,neo soul,alabama rap,alternative r&b","Atlantic Records UK",0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043,4
29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On","Disclosure",2024-05-29,226773,71,,2024-11-07T16:40:28Z,"edm,house,indietronica,uk dance","Disorder",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
5lBKGuWoDoNXd0r4sICyK2,"Voices","Voices","Jasper Tygner",2023-08-10,206637,43,,2024-11-07T16:40:28Z,"stutter house","Jasper Tygner, distributed by LG105",0.713,0.867,7,-7.657,1,0.0408,0.531,0.916,0.116,0.123,124.015,4
5u4hhtZ7f4rWkMZEZcTKrH,"Relax My Eyes","Relax My Eyes","ANOTR,Abel Balder",2022-11-04,192150,73,,2024-11-07T16:40:28Z,"dutch tech house","NO ART",0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,4
2oKFozpMCSlgRUgzI63TlZ,"Joy","Joy","1111",2024-06-14,212926,43,,2024-11-07T16:40:28Z,"","WUGD",0.594,0.863,8,-5.391,1,0.0385,0.0385,0.62,0.047,0.25,144.996,4
33tYADyL2aZctrvR59K1bQ,"Lauren (I Can't Stay Forever)","Lauren (I Can't Stay Forever)","Oden & Fatzo",2021-10-08,200550,65,,2024-11-07T16:40:28Z,"","Columbia/B1 Recordings/Funfair Records",0.702,0.912,9,-8.687,0,0.0652,0.0773,0.309,0.0926,0.957,128.018,4
39x2AFARnc2ovMRtxw272B,"Have U","Have U","Caius",2023-11-17,161614,45,,2024-11-07T16:40:28Z,"danish electropop","strange pack records",0.678,0.781,6,-10.792,1,0.148,0.462,0.796,0.703,0.233,135.093,4
3fvZo45Y28ly1QBo05pujJ,"Let's Go Back","Let's Go Back","Jungle",2024-09-04,169651,72,,2024-11-07T16:40:28Z,"indie soul,uk contemporary r&b","Caiola Records",0.525,0.749,9,-4.77,0,0.0292,0.146,0,0.236,0.789,71.582,4
